Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Root beer,12 oz.,346,140,0,0,0,0.0,35.0,"Drinks,Alcohol, Beverages"
Coffee,1 cup,230,3,0,0,0,0.0,1.0,"Drinks,Alcohol, Beverages"
Tea,1 cup,230,4,0,0,0,0.0,1.0,"Drinks,Alcohol, Beverages"
Whole milk,1 cup,244,150,8,8,5,0.0,12.0,Dairy products
"Greek yogurt, plain",1 cup,245,220,20,10,6,0.0,9.0,Dairy products
Mozzarella cheese,1 oz.,28,85,6,6,4,0.0,1.0,Dairy products
Sour cream,1/4 cup,60,120,2,12,7,0.0,3.0,Dairy products
Duck fat,1 T.,14,115,0,13,4,0.0,0.0,"Fats, Oils, Shortenings"
Ghee,1 T.,14,112,0,13,8,0.0,0.0,"Fats, Oils, Shortenings"
Turkey bacon,2 slices,30,90,6,7,2,0.0,1.0,"Meat, Poultry"
"Chicken wings, baked",3 oz.,85,240,20,17,5,0.0,0.0,"Meat, Poultry"
Pork tenderloin,3 oz.,85,140,24,4,1,0.0,0.0,"Meat, Poultry"
Beef brisket,3 oz.,85,280,20,22,9,0.0,0.0,"Meat, Poultry"
Turkey sausage,2 links,60,120,12,8,3,0.0,2.0,"Meat, Poultry"
Grilled chicken thigh,3 oz.,85,210,19,14,4,0.0,0.0,"Meat, Poultry"
"Quail, roasted",3 oz.,85,190,22,11,3,0.0,0.0,"Meat, Poultry"
"Tilapia, baked",3 oz.,85,110,23,2,1,0.0,0.0,"Fish, Seafood"
"Catfish, fried",3 oz.,85,200,18,12,3,0.0,3.0,"Fish, Seafood"
"Mussels, steamed",3 oz.,85,145,20,4,1,0.0,7.0,"Fish, Seafood"
"Zucchini, sautéed",1 cup,180,60,2,4,1,2.0,8.0,Vegetables A-E
Butternut squash,1 cup,205,85,2,0,0,6.0,22.0,Vegetables A-E
"Green beans, steamed",1 cup,125,45,2,0,0,4.0,10.0,Vegetables A-E
Arugula,2 cups,40,10,1,0,0,1.0,2.0,Vegetables A-E
"Leeks, cooked",1 cup,104,32,1,0,0,1.0,8.0,Vegetables F-P
Snow peas,1 cup,98,40,3,0,0,3.0,7.0,Vegetables F-P
Portobello mushrooms,1 medium,85,22,3,0,0,1.0,4.0,Vegetables F-P
Radish greens,1 cup,100,25,2,0,0,2.0,5.0,Vegetables R-Z
Spaghetti squash,1 cup,155,42,1,0,0,2.0,10.0,Vegetables R-Z
"Yams, boiled",1 cup,136,160,2,0,0,6.0,38.0,Vegetables R-Z
Mango,1 medium,200,130,1,0,0,3.0,35.0,Fruits G-P
Kiwi,2 medium,150,90,2,1,0,5.0,22.0,Fruits G-P
Pomegranate,1 medium,282,230,5,1,0,11.0,52.0,Fruits G-P
Clementine,2 small,150,70,1,0,0,3.0,18.0,Fruits A-F
"Quinoa, cooked",1 cup,185,220,8,4,1,5.0,39.0,"Breads, cereals, fastfood,grains"
"Barley, cooked",1 cup,157,195,4,1,0,6.0,44.0,"Breads, cereals, fastfood,grains"
Buckwheat groats,1 cup,168,155,6,1,0,5.0,34.0,"Breads, cereals, fastfood,grains"
Sourdough bread,1 slice,50,130,4,1,0,1.0,25.0,"Breads, cereals, fastfood,grains"
Minestrone soup,1 cup,240,120,5,3,1,4.0,18.0,Soups
Lentil soup,1 cup,245,180,10,2,0,8.0,30.0,Soups
Carrot cake,1 slice,90,350,4,16,3,2.0,50.0,"Desserts, sweets"
Peanut brittle,1 oz.,28,130,2,5,1,0.0,20.0,"Desserts, sweets"
Maple syrup,2 T.,40,105,0,0,0,0.0,27.0,"Jams, Jellies"
Hazelnuts,1/4 cup,35,220,5,20,2,3.0,6.0,Seeds and Nuts
Pine nuts,1/4 cup,34,230,4,23,2,1.0,4.0,Seeds and Nuts
Sparkling water,12 oz.,355,0,0,0,0,0.0,0.0,"Drinks,Alcohol, Beverages"
Kombucha,1 cup,240,30,0,0,0,0.0,7.0,"Drinks,Alcohol, Beverages"
